id,x,y,ux,uy,fintx,finty,bcx,bcy
0,0.04000000000016646,1.0,0.010256285249828202,0.4,5.551115123125783e-17,0.042630612258444535,0,4
1,0.02000000000008328,1.0,0.005131908501239803,0.4,3.469446951953614e-17,0.04263473865858699,0,4
2,0.03232300272509022,0.9832996072706063,0.008295401753479932,0.39639691693074186,-3.2959746043559335e-17,-1.6653345369377348e-16,0,0
3,0.05000670305834538,0.987790537300419,0.012821099048556085,0.39736079060810325,6.591949208711867e-17,1.491862189340054e-16,0,0
4,0.01464101615145555,0.9853589838485708,0.003758048040824963,0.39684687412823033,-4.163336342344337e-17,-3.608224830031759e-16,0,0
5,0.06000000000024963,1.0,0.015369857162381711,0.4,3.469446951953614e-18,0.04264982296861075,0,4
6,0.04951553635497874,0.9722873302562729,0.012708990145504587,0.3940102196057494,-4.85722573273506e-17,-1.3530843112619095e-16,0,0
7,0.0,1.0,0.0,0.4,-0.02152734975964494,0.02131354263680782,1,4
8,0.01675426480541296,0.9690192378865387,0.0043063276604561485,0.3933285905561666,-5.724587470723463e-17,2.1163626406917047e-16,0,0
9,0.06820838232751653,0.9809976188558553,0.017475762358819168,0.3958779368878166,5.2909066017292616e-17,7.979727989493313e-17,0,0
10,0.08000000000033292,1.0,0.020468422042081335,0.4,-4.336808689942018e-17,0.04265445836209232,0,4
11,0.1000000000004161,1.0,0.025540852195870576,0.4,-3.8163916471489756e-17,0.0426593178403073,0,4
12,0.09030668950749172,0.9826249551222674,0.023096139017154876,0.39620878702737033,-5.551115123125783e-17,-1.0755285551056204e-16,0,0
13,0.03293076030482936,0.9630175393470397,0.00846423985216831,0.3920260608032519,8.847089727481716e-17,-1.491862189340054e-16,0,0
14,0.0,0.9800000000000189,0.0,0.39569440909957077,-0.04306208151352061,-4.163336342344337e-17,1,0
15,0.1100818312278703,0.983697750238486,0.028098377650090062,0.39642226259652025,3.2959746043559335e-17,-2.7929047963226594e-16,0,0
16,0.1200000000004994,1.0,0.030586232569595972,0.4,2.42861286636753e-17,0.042681900964100336,0,4
17,0.04601908431555364,0.9517292130914922,0.011839516485171899,0.38958245277657566,-5.377642775528102e-17,2.914335439641036e-16,0,0
18,0.0642509559649633,0.9587408182644405,0.016499030071547037,0.3910634273879988,-6.245004513516506e-17,2.0816681711721685e-17,0,0
19,0.01724790855729413,0.9514067164600164,0.004440537700635227,0.3895430981949327,3.122502256758253e-17,-8.326672684688674e-17,0,0
20,0.0,0.9600000000000526,0.0,0.39139516850646233,-0.04306777018351106,7.979727989493313e-17,1,0
21,0.08329564921735125,0.9641369649257632,0.021348203807385287,0.3921945163813768,7.979727989493313e-17,2.42861286636753e-16,0,0
22,0.1029690844391794,0.9678636157400184,0.026334543140606462,0.3929637857707577,-5.117434254131581e-17,-7.979727989493313e-17,0,0
23,0.130000000000541,0.9826794919242392,0.03310857418152668,0.3961682568926101,-1.0408340855860843e-17,-3.365363543395006e-16,0,0
24,0.1400000000005825,1.0,0.03559610607286287,0.4,-1.0408340855860843e-17,0.042708141927078,0,4
25,0.03153226162719184,0.9440368083945191,0.00812609631714624,0.38794806826650374,-8.500145032286355e-17,3.365363543395006e-16,0,0
26,0.1200048973229609,0.9713673042889339,0.030624737608344135,0.3936939103635606,7.45931094670027e-17,2.3245294578089215e-16,0,0
27,0.1495222732334486,0.9826679317689861,0.03798508471449556,0.39613373399012797,4.85722573273506e-17,-2.2898349882893854e-16,0,0
28,0.1600000000006658,1.0,0.040567440131069166,0.4,-2.42861286636753e-17,0.04271775097647968,0,4
29,0.05994800125355652,0.9380098468577476,0.015443659142854296,0.3865997264469789,9.627715291671279e-17,1.491862189340054e-16,0,0
30,0.04092996143668184,0.9318213742464758,0.010566571053564046,0.3853159011016544,-5.377642775528102e-17,-4.544975507059235e-16,0,0
31,0.0789659417699818,0.9441979224080344,0.020296307218518828,0.38788030523644057,1.5612511283791264e-17,-1.97758476261356e-16,0,0
32,0.0,0.9400000000000998,0.0,0.3871055903813321,-0.04307556875393023,1.8388068845354155e-16,1,0
33,0.02052328817155788,0.929730745330685,0.005302790563127752,0.38489816094626805,4.336808689942018e-17,-4.475586568020162e-16,0,0
34,0.09762535966477333,0.9499196179012076,0.025031805255329775,0.3890612630627675,4.597017211338539e-17,1.0061396160665481e-16,0,0
35,0.1165000796946289,0.9554351019634533,0.029792006939832274,0.39019913141093315,-9.367506770274758e-17,3.469446951953614e-17,0,0
36,0.13640794183503,0.9643982025783117,0.03476296944055701,0.39210543632085987,2.2551405187698492e-17,3.434752482434078e-16,0,0
37,0.168469738189456,0.9830619683466068,0.042678423297922485,0.3961907996804762,-1.734723475976807e-17,-3.694961003830599e-16,0,0
38,0.180000000000749,1.0,0.04549903998423915,0.4,6.245004513516506e-17,0.0427488975076556,0,4
39,0.1571658894098232,0.9666267785429369,0.03992801196179596,0.39253210159336643,-3.469446951953614e-18,2.914335439641036e-16,0,0
40,0.189767965830992,0.9805332096607943,0.047909787454348464,0.3955729136259558,-3.5561831257524545e-17,9.71445146547012e-17,0,0
41,0.07481623589727063,0.924633736029046,0.019302304034733042,0.38366901876311704,-7.28583859910259e-17,1.3877787807814457e-17,0,0
42,0.0557983572776371,0.9184455065417879,0.014433104630716866,0.3824097191433833,-8.847089727481716e-17,-2.8449465006019636e-16,0,0
43,0.036780304968602,0.9122570346733238,0.009537014724817668,0.3811411546050368,-5.117434254131581e-17,1.9081958235744878e-16,0,0
44,0.09383354963153673,0.9308212990147324,0.024140777097923047,0.38492366042859444,-4.9439619065339e-17,3.642919299551295e-16,0,0
45,0.0,0.9200000000001403,0.0,0.3828332073062064,-0.04307490330981556,-2.0816681711721685e-16,1,0
46,0.1128491821635707,0.9370071319403168,0.028945252176374003,0.38617801290624143,9.974659986866641e-17,-6.245004513516506e-17,0,0
47,0.1318356546118255,0.9431692527342443,0.033705528489157865,0.3874349070079257,-7.806255641895632e-17,-2.463307335887066e-16,0,0
48,0.1510423410020633,0.9489796391754212,0.03848567175268094,0.3886208676363165,9.367506770274758e-17,8.673617379884035e-17,0,0
49,0.1758014253994474,0.9690412299273018,0.04452246660501562,0.3930089860011868,-8.153200337090993e-17,1.700029006457271e-16,0,0
50,0.2000000000008322,1.0,0.05038180404302388,0.4,-6.245004513516506e-17,0.04277337359963672,0,4
51,0.01722418943860115,0.9093685710658588,0.004473143660613559,0.3805621719689928,1.0408340855860843e-17,3.5388358909926865e-16,0,0
52,0.1700409752926172,0.9544763768263718,0.04317030906794615,0.38975044153130145,3.122502256758253e-17,-1.8474805019152996e-16,0,0
53,0.210000000000869,0.9826794919242412,0.05281921896048355,0.3960092706119217,-1.0408340855860843e-17,-2.2898349882893854e-16,0,0
54,0.1886956945753838,0.9617339356693173,0.047712666831196356,0.39130259153990915,1.3877787807814457e-17,-2.0816681711721685e-17,0,0
55,0.2200000000009155,1.0,0.055207455776159514,0.4,-2.0816681711721685e-17,0.04282173748897121,0,4
56,0.07066660887616721,0.9050696464761617,0.018320535859049844,0.3794846546306695,-2.5153490401663703e-17,2.7755575615628914e-16,0,0
57,0.0896843013820588,0.9112577025014645,0.023178644563476,0.3807132809475757,-4.423544863740858e-17,-3.7816971776294395e-16,0,0
58,0.05164874173645193,0.8988812494125498,0.013429056126570473,0.378245998076965,-4.5102810375396984e-17,-3.469446951953614e-17,0,0
59,0.03326510128999004,0.8934580356323167,0.008671031374138162,0.3771528035199293,1.0495077029659683e-16,1.9081958235744878e-16,0,0
60,0.1087018020081531,0.9174458797854141,0.02800033024941469,0.3819373866088838,8.673617379884035e-17,-7.28583859910259e-17,0,0
61,0.0,0.9000000000001855,0.0,0.37858524798241167,-0.04309123528935872,-8.673617379884035e-17,1,0
62,0.1277050688637135,0.9236181669867355,0.03277955095490627,0.38315971262079646,4.683753385137379e-17,2.42861286636753e-16,0,0
63,0.1466547765801098,0.9297615402728652,0.0375035238534706,0.38438189933380357,-4.5102810375396984e-17,-1.491862189340054e-16,0,0
64,0.1655879330213634,0.9359430239181747,0.04217999459181719,0.3856214246062175,-4.423544863740858e-17,2.0816681711721685e-17,0,0
65,0.2038786408389507,0.9675983181804595,0.05138481117461284,0.3925702195986829,2.7755575615628914e-17,-4.5102810375396984e-17,0,0
66,0.2299999518439538,0.9826794872487707,0.05762378949421126,0.39596513030029096,7.28583859910259e-17,-3.625572064791527e-16,0,0
67,0.2400000000009987,1.0,0.059981009491923094,0.4,1.457167719820518e-16,0.04283591184943268,0,4
68,0.2600000000010819,1.0,0.06469633487378244,0.4,-7.632783294297951e-17,0.04285250254935634,0,4
69,0.250072620498306,0.982969772737339,0.06238650362445648,0.3959840755953707,-7.112366251504909e-17,5.551115123125783e-17,0,0
70,0.01609109631136342,0.8880203633795436,0.004204195176576,0.37604298956363086,-1.5612511283791264e-16,2.5326962749261384e-16,0,0
71,0.1845155913517931,0.9421204893413857,0.046808265090457664,0.3868771717370891,-5.204170427930421e-17,3.0791341698588326e-16,0,0
72,0.220000000000912,0.9653589838484884,0.05529454874389416,0.391981282372121,4.163336342344337e-17,6.245004513516506e-17,0,0
73,0.2062627666005528,0.9496238362372309,0.05206582508044428,0.3884406606020935,-2.7755575615628914e-17,2.5847379792054426e-16,0,0
74,0.2699999882812355,0.9835170956992749,0.06705447106477894,0.39606686864439145,7.112366251504909e-17,-7.28583859910259e-17,0,0
75,0.2800000000011651,1.0,0.06935400838358824,0.4,-6.245004513516506e-17,0.04289527712419433,0,4
76,0.06651710823806159,0.8855055896751026,0.017348667792813462,0.37533186751645087,-1.5612511283791264e-16,-3.157196726277789e-16,0,0
77,0.08553473939955383,0.8916939426290824,0.02223173770851555,0.3765344454072114,1.1622647289044608e-16,6.938893903907228e-18,0,0
78,0.1045521535504289,0.8978821294919053,0.027075401412873366,0.37772739375062203,-4.163336342344337e-17,-6.938893903907228e-18,0,0
79,0.04865178536584112,0.8793838943284922,0.012728967235576023,0.37412243776076115,2.0122792321330962e-16,1.9081958235744878e-16,0,0
80,0.03128327725141246,0.8746702541249278,0.008204135855267079,0.3731923163590357,3.165870343657673e-17,-2.740863092043355e-16,0,0
