loadstep,alpha,gamma,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse
10,1e-05,30.0,1.0,0.0003015860802909126,0.008586864368277044,0.01318462479700698,0.026123257967261476,0.056143703717765954,0.03019438054558246
20,1e-05,30.0,1.0,0.00030357659376523013,0.009333059316509986,0.016641279168805884,0.02963835889476595,0.0697235454871538,0.04477234899134911
30,1e-05,30.0,1.0,0.0003431157994711484,0.012906059180324702,0.03901808100473118,0.06479793929458033,0.1787871808079552,0.14973820774029828
40,1e-05,30.0,1.0,0.0005520770755255046,0.02804561203053462,0.06784643035908813,0.3160765730979049,0.45878033964482884,0.342799633901374
