loadstep,alpha,gamma,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,mean_F_rmse
30,1e-10,1.0,0.5,0.0013821102431711557,0.04406619521200307,0.07952109796309416,0.23185360339449,0.41555483967824347,0.2531634819399239,0.043103262935758696
40,1e-10,1.0,0.5,0.0019300514034314752,0.053177658286051144,0.1222688394836025,0.4315816828578875,0.6868310676012869,0.5320265103640429,0.043103262935758696
10,1e-10,1.0,0.75,0.000544590275311656,0.020357628061151926,0.0303375770890173,0.06097191038797801,0.1303927164898115,0.07007199445567264,0.038545118964716296
20,1e-10,1.0,0.75,0.0011700804620144822,0.02899854476403841,0.04395840155985695,0.12109811092415561,0.2232038676343875,0.12036586392607777,0.038545118964716296
30,1e-10,1.0,0.75,0.0019468170852740582,0.04313973198677586,0.08004720979535374,0.30923064393917704,0.49053143997350607,0.2904751418380182,0.038545118964716296
40,1e-10,1.0,0.75,0.0027991628335155053,0.06168457104689898,0.15337576265006594,0.6265340674754689,0.9957959322946097,0.7711798227161677,0.038545118964716296
10,1e-10,1.0,1.0,0.0006448649201639348,0.012964657183771301,0.01783527335660313,0.03738096610312254,0.07800235464649537,0.04213920905963701,0.043664649758553824
20,1e-10,1.0,1.0,0.001522239221172796,0.030661221756730604,0.04492500461615212,0.14614175465136772,0.2524119663168349,0.13170608519892726,0.043664649758553824
30,1e-10,1.0,1.0,0.002570019248900538,0.052388392429213504,0.09749010803820653,0.41410926365765016,0.6623971153421031,0.38432731767515765,0.043664649758553824
40,1e-10,1.0,1.0,0.003710637611909289,0.07864432766449989,0.1981731151037079,0.8409902957794739,1.4432963100247542,1.1011309285081639,0.043664649758553824
10,1e-10,10.0,0.25,0.0007628124916628746,0.053904630596208473,0.08244608143177394,0.16539928284883032,0.35525612875765294,0.19050249065145713,0.053815665224095775
20,1e-10,10.0,0.25,0.0007596779300052929,0.05393271188758775,0.08707558204408301,0.17398508073514835,0.39692329434156154,0.22547286617828546,0.053815665224095775
30,1e-10,10.0,0.25,0.0007523613539454658,0.05331226416606701,0.09331013704460227,0.1858847332782759,0.4411380261054356,0.2670979068893545,0.053815665224095775
40,1e-10,10.0,0.25,0.0007676276525054557,0.05411305424651986,0.10554323185671996,0.21424567562111294,0.5038225001872889,0.33950766265684307,0.053815665224095775
10,1e-10,10.0,0.5,0.0005469592656320967,0.036405281682208364,0.05560746166925264,0.11134744313851493,0.23903878507180393,0.12800306105000717,0.03697734348167237
20,1e-10,10.0,0.5,0.0005460349769704748,0.03649961447402006,0.05896580379637694,0.11754013756609301,0.2679439217818929,0.15245603942579686,0.03697734348167237
30,1e-10,10.0,0.5,0.0005425509080820785,0.03630219728552451,0.06539423340620679,0.12822294715535304,0.3054491938606264,0.191625751351785,0.03697734348167237
40,1e-10,10.0,0.5,0.0005931399086776162,0.038702280484936576,0.08061888086398063,0.20587783896599474,0.4031042411795685,0.2945064705491043,0.03697734348167237
10,1e-10,10.0,0.75,0.00036690696734043764,0.019570856007246847,0.029920295281315644,0.05988539345829171,0.12838314592873126,0.0686821474105617,0.02204948693685556
