load_step,delta,load_substeps,Rx_right,Ry_top,Rx_left,Ry_bottom,converged,newton_iterations,max_displacement,J_min
1,0.1,1,-0.5055859032220803,-0.7313554221553931,0.5055859032220871,0.7313554221565809,True,4,0.1118033988749895,1.1042247907510423
2,0.2,1,-1.1345846328566713,-1.4820261608606222,1.1345846328566795,1.4820261608606242,True,4,0.223606797749979,1.2452181773725834
3,0.30000000000000004,1,-1.8872135375765526,-2.280181481121239,1.8872135375765535,2.280181481121239,True,4,0.3354101966249685,1.4283089091869388
4,0.4,1,-2.7658836386377232,-3.1427690028360016,2.765883638637724,3.142769002836001,True,4,0.447213595499958,1.6356385203134314
5,0.5,1,-3.7731303354181054,-4.079894720291284,3.773130335418106,4.079894720291283,True,4,0.5590169943749475,1.8148788157350473
6,0.6000000000000001,1,-4.910970433988788,-5.097656276419606,4.910970433988787,5.0976562764196025,True,4,0.670820393249937,1.9896712102013772
7,0.7000000000000001,1,-6.1808151722224265,-6.199848707079785,6.180815172222426,6.199848707079787,True,4,0.7826237921249265,2.1693902871605446
8,0.8,1,-7.583433394164002,-7.388902224154654,7.583433394163999,7.388902224154653,True,4,0.894427190999916,2.352401565397134
