method,loadstep,alpha,gamma,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,J_min,J_nonpositive_count
krr,10,1e-10,100.0,0.25,2.611993553464731e-06,0.0004688218128466447,0.0006460263216634798,0.0013529123695026823,0.0026809020307872362,0.0013284908384849441,0.9688957282257146,0
krr,20,1e-10,100.0,0.25,3.92316320384115e-06,0.0006960202826616696,0.0009655512149716353,0.0021040666524163943,0.004132003178575557,0.00203052877382444,0.954303286239508,0
krr,30,1e-10,100.0,0.25,5.134791764987942e-06,0.0008839103228540343,0.0012280854644781587,0.0027773787355216636,0.0053982390926259755,0.002629366333039769,0.9488033794334407,0
krr,40,1e-10,100.0,0.25,6.417287347947067e-06,0.0010698822353462896,0.001477880925963874,0.0034968471322378786,0.006712795528324189,0.0032371865258317505,0.9417214571312263,0
krr,50,1e-10,100.0,0.25,7.749023176377643e-06,0.0012543983019603832,0.0017380608592666154,0.004317623799559273,0.008180923853567964,0.0039052576206317613,0.9314938530056059,0
krr,60,1e-10,100.0,0.25,9.401184094225827e-06,0.0014859566121674002,0.0020119335372604913,0.005407068721546194,0.009997925225550593,0.0046673014526361686,0.9198796732122011,0
