method,loadstep,alpha,gamma,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,J_min,J_nonpositive_count,mean_F_rmse
krr,50,1e-10,0.1,0.5,0.0008791295592488984,0.0169742373363475,0.021989179965027507,0.04782326193759232,0.09433476423001334,0.04726171067407302,0.9508500442892378,0,0.011996763932628553
krr,60,1e-10,0.1,0.5,0.0010625155030998422,0.020180421511336772,0.026597018565606152,0.05951209499727634,0.11624879564238166,0.058063068830483434,0.9398535270061642,0,0.011996763932628553
krr,10,1e-10,0.1,0.75,0.0002487904736585171,0.0054858770604754555,0.006672216206287442,0.013551785362311825,0.027117491711076407,0.013572941258331408,0.9869949943948232,0,0.017995145898942827
krr,20,1e-10,0.1,0.75,0.000508355020602681,0.01057021290684997,0.013003648997894954,0.026751934425545815,0.05356889660913461,0.026878782789728863,0.973557982061508,0,0.017995145898942827
krr,30,1e-10,0.1,0.75,0.0007728472665369011,0.015604534073743898,0.019512862076854456,0.040789388218256645,0.08154771020839019,0.04097135229158244,0.961255508020595,0,0.017995145898942827
krr,40,1e-10,0.1,0.75,0.001043714493128676,0.020578263081061254,0.026221065598731056,0.056041111747154745,0.11148302501253132,0.05595818117001049,0.9482779761455035,0,0.017995145898942827
krr,50,1e-10,0.1,0.75,0.0013186943388733476,0.025461356004521235,0.032993269331516806,0.07228002914186743,0.14280471036984288,0.07156150748798923,0.9370599104095066,0,0.017995145898942827
krr,60,1e-10,0.1,0.75,0.001593773254649763,0.03027063226700515,0.039908829098018316,0.08992683565166044,0.17615177533934992,0.08804915218735555,0.9252620691801066,0,0.017995145898942827
krr,10,1e-10,0.1,1.0,0.00033172063154468957,0.007314502747300605,0.008898002718387685,0.018107160756648363,0.03622634519731209,0.018128547140147062,0.983331931680649,0,0.023993527865257103
krr,20,1e-10,0.1,1.0,0.0006778066941369079,0.014093617209133288,0.017340198893055457,0.035826473253173216,0.07171568546238848,0.03596899886691454,0.9638969058419086,0,0.023993527865257103
krr,30,1e-10,0.1,1.0,0.0010304630220492016,0.020806045431658537,0.026022231062729682,0.05473070046996096,0.1094089047854193,0.05495086891410251,0.9484659582503742,0,0.023993527865257103
