load_step,delta,load_substeps,Rx_right,Ry_top,Rx_left,Ry_bottom,converged,newton_iterations,max_displacement,J_min
1,0.1,1,-0.505555177983067,-0.7301706354432028,0.5055551779830775,0.7301706354441455,True,4,0.1118033988749895,1.1039670822142402
2,0.2,1,-1.1336630319001504,-1.473252217278071,1.1336630319001657,1.4732522172780875,True,4,0.223606797749979,1.2435747553009409
3,0.30000000000000004,1,-1.882581059338481,-2.253970918272408,1.882581059338485,2.253970918272409,True,4,0.3354101966249685,1.4332033571456761
4,0.4,1,-2.756027036655185,-3.0908728451819507,2.7560270366551864,3.0908728451819543,True,4,0.447213595499958,1.6370584312361867
5,0.5,1,-3.761759611657345,-3.998928948113627,3.761759611657351,3.9989289481136265,True,4,0.5590169943749475,1.8111751147198902
6,0.6000000000000001,1,-4.907867763358865,-4.989410916873419,4.9078677633588645,4.98941091687342,True,4,0.670820393249937,1.9839502440977026
7,0.7000000000000001,1,-6.201503800935941,-6.070748934059955,6.201503800935938,6.070748934059954,True,4,0.7826237921249265,2.1621132191200005
8,0.8,1,-7.648994251211612,-7.249596859078227,7.648994251211612,7.249596859078225,True,4,0.894427190999916,2.345886611283696
