gradNa_node1_x,gradNa_node1_y,gradNa_node2_x,gradNa_node2_y,gradNa_node3_x,gradNa_node3_y,qpWeight
-45.63157894736826,-76.05263157894734,76.0526315789471,30.421052631578842,-30.421052631578842,45.6315789473685,0.00011374384885238474
68.80952380952388,-13.76190476190451,-55.04761904761892,68.80952380952343,-13.761904761904951,-55.04761904761892,0.00012571688557368825
57.800000000000225,-72.25000000000006,0.0,72.25000000000006,-57.800000000000225,0.0,0.00011973036721303569
-36.12500000000003,72.25000000000006,-36.12500000000003,-72.25000000000006,72.25000000000006,0.0,9.578429377042886e-05
-67.99999999999999,17.000000000000252,51.00000000000001,-85.00000000000017,16.99999999999998,67.99999999999991,0.00010177081213108086
-15.21052631578948,-60.84210526315792,76.05263157894743,15.21052631578948,-60.84210526315795,45.63157894736844,0.00011374384885238431
-32.11111111111105,-64.2222222222221,64.22222222222217,-16.055555555555785,-32.111111111111114,80.27777777777789,0.00010775733049173274
57.8,-57.8,19.26666666666674,77.06666666666666,-77.06666666666673,-19.266666666666666,8.979777540977713e-05
0.0,96.33333333333334,-57.80000000000004,-57.800000000000004,57.80000000000004,-38.53333333333334,8.979777540977711e-05
-57.80000000000004,77.06666666666668,0.0,-96.33333333333334,57.80000000000004,19.26666666666667,8.979777540977711e-05
-48.1666666666667,288.99999999999994,0.0,-288.99999999999994,48.1666666666667,0.0,3.591911016391086e-05
-96.3333333333334,288.99999999999994,48.1666666666667,-288.99999999999994,48.1666666666667,0.0,3.591911016391086e-05
0.0,-289.00000000000006,289.0000000000002,0.0,-289.0000000000002,289.00000000000006,5.986518360651806e-06
96.33333333333327,-32.11111111111109,0.0,96.3333333333334,-96.33333333333327,-64.22222222222231,5.38786652458663e-05
18.06249999999985,90.31249999999953,-72.24999999999969,-72.2499999999994,54.18749999999984,-18.06250000000014,9.578429377042972e-05
72.25,0.0,-144.4999999999977,288.9999999999956,72.24999999999768,-288.9999999999956,2.3946073442607614e-05
26.27272727272664,-105.09090909090824,52.545454545454966,78.8181818181816,-78.8181818181816,26.27272727272664,6.585170196717042e-05
-18.062500000000302,72.25000000000006,-54.18749999999975,-72.25000000000006,72.25000000000006,0.0,9.578429377042886e-05
-14.449999999999733,-72.25000000000006,57.79999999999986,0.0,-43.35000000000013,72.25000000000006,0.00011973036721303645
-72.25000000000006,72.24999999999928,0.0,-96.33333333333289,72.25000000000006,24.08333333333361,7.183822032782203e-05
-36.12499999999988,72.24999999999976,-54.187500000000114,-36.12499999999988,90.3125,-36.12499999999988,9.578429377042924e-05
-64.22222222222227,-16.055555555555568,32.111111111111136,-64.22222222222227,32.111111111111136,80.27777777777783,0.00010775733049173247
57.79999999999948,115.59999999999896,-86.69999999999968,-28.899999999999277,28.900000000000205,-86.69999999999968,5.986518360651862e-05
