method,loadstep,lambda_smooth,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,J_min,J_nonpositive_count
mesh-laplacian,10,0.0,0.25,3.1339560339829026e-19,6.395289959455758e-17,9.476275508031897e-17,1.997052540057967e-16,3.9041339401382723e-16,1.900973315908798e-16,0.965999797893833,0
mesh-laplacian,20,0.0,0.25,6.651410700842223e-19,1.4823458394063332e-16,2.0037257195553924e-16,4.47001301444951e-16,8.665880349236871e-16,4.199891133943012e-16,0.9494614389882691,0
mesh-laplacian,30,0.0,0.25,8.400780227012822e-19,1.5115077742115768e-16,2.2670955482792767e-16,5.106967284721029e-16,9.845551113014687e-16,4.759365087330582e-16,0.9438326054472757,0
mesh-laplacian,40,0.0,0.25,1.081609414234235e-18,2.0360298460623547e-16,3.1708254506395956e-16,7.690293533098917e-16,1.4669837399789214e-15,6.987256048762049e-16,0.9359047134064776,0
mesh-laplacian,50,0.0,0.25,1.1906127279110701e-18,2.6666443270331294e-16,3.365953872487536e-16,8.588369549721771e-16,1.614903054108248e-15,7.553785449085637e-16,0.9255560911311987,0
mesh-laplacian,60,0.0,0.25,1.484729998380488e-18,3.1616400874077764e-16,4.482304280909147e-16,1.1366790167296674e-15,2.153627378637211e-15,1.0191410897942341e-15,0.9078486563598229,0
