method,loadstep,lambda_smooth,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,J_min,J_nonpositive_count,mean_F_rmse
mesh-laplacian,40,0.01,0.25,1.4091056767084453e-06,0.00035218625860954756,0.00037555377097339015,0.000788894610752113,0.0016038425786658022,0.0008355131755138718,0.9360495610361375,0,0.0003117894219840905
mesh-laplacian,50,0.01,0.25,1.693390075329188e-06,0.00042590070601236586,0.00046598873026694823,0.0009956632432403184,0.0020221196391969048,0.0010682896310081293,0.9263006194964236,0,0.0003117894219840905
mesh-laplacian,60,0.01,0.25,1.9558394695293608e-06,0.0004944622513062175,0.0005483319626741429,0.0012405411237152557,0.0024667819536432056,0.001300936163078636,0.9088322023661426,0,0.0003117894219840905
mesh-laplacian,10,0.01,0.5,9.089119389259688e-07,0.00023622173168527885,0.0002372722126566495,0.00047897010209618394,0.0009655677135027572,0.00048742968246244474,0.9668590358099245,0,0.0006235788439681741
mesh-laplacian,20,0.01,0.5,1.5824130432679596e-06,0.0004037841961683642,0.0004190496533689041,0.000853429486292264,0.001733829492773669,0.0008855378367206326,0.9504172091220598,0,0.0006235788439681741
mesh-laplacian,30,0.01,0.5,2.212250976569185e-06,0.0005563687040992433,0.0005881358558683518,0.0012078860814105652,0.0024653007377480815,0.00127357304968758,0.9442589040844959,0,0.0006235788439681741
mesh-laplacian,40,0.01,0.5,2.8182113534169363e-06,0.0007043725172189675,0.000751270818187372,0.0015777118202531786,0.0032101086333878354,0.0016725782996878662,0.936192721990159,0,0.0006235788439681741
mesh-laplacian,50,0.01,0.5,3.386780150658301e-06,0.0008518014120247286,0.0009322285059991829,0.001990746131996001,0.004048304150277651,0.0021393766323878766,0.9270451041040343,0,0.0006235788439681741
mesh-laplacian,60,0.01,0.5,3.9116789390586106e-06,0.000988924502612462,0.001097041409841973,0.002478125352369731,0.004937941970315914,0.0026060055637417362,0.9098157255057189,0,0.0006235788439681741
mesh-laplacian,10,0.01,0.75,1.3633679083889573e-06,0.0003543325975279187,0.00035593012715702847,0.0007185899573337064,0.0014486274034975768,0.0007312410090201972,0.9672886614675541,0,0.0009353682659522406
mesh-laplacian,20,0.01,0.75,2.373619564901899e-06,0.0006056762942524932,0.0006286425140916744,0.0012805221659616215,0.0026018210913086363,0.0013287940672494143,0.9508944329481687,0,0.0009353682659522406
mesh-laplacian,30,0.01,0.75,3.318376464853749e-06,0.0008345530561488883,0.0008823374561372907,0.0018122556322656585,0.003700138482355841,0.0019115163849671355,0.9444705242027833,0,0.0009353682659522406
mesh-laplacian,40,0.01,0.75,4.227317030125386e-06,0.0010565587758283805,0.001127151975149272,0.0023665114272698536,0.004818835223688629,0.0025111957337622007,0.9363341962685418,0,0.0009353682659522406
mesh-laplacian,50,0.01,0.75,5.080170225987323e-06,0.0012777021180370547,0.0013987209480658008,0.0029853526458957086,0.006078614688793368,0.0032132602710224878,0.9273316053811691,0,0.0009353682659522406
mesh-laplacian,60,0.01,0.75,5.86751840858806e-06,0.0014833867539187082,0.0016461311853947817,0.0037129107027397065,0.007413572283714512,0.003915204702306588,0.9107992257785561,0,0.0009353682659522406
mesh-laplacian,10,0.01,1.0,1.8178238778519331e-06,0.0004724434633705488,0.0004746026103879017,0.0009583038847627974,0.0019318739292708484,0.0009751168928113735,0.9677182915915735,0,0.0012471576879363006
mesh-laplacian,20,0.01,1.0,3.164826086535849e-06,0.0008075683923366556,0.0008382809053725427,0.0017078835255024067,0.0034705418851943993,0.0017723756290605652,0.9513712159470857,0,0.0012471576879363006
mesh-laplacian,30,0.01,1.0,4.424501953138351e-06,0.0011127374081985367,0.0011766286518944563,0.0024169502316241306,0.004936460835841526,0.002550231747250529,0.9446811248541905,0,0.0012471576879363006
mesh-laplacian,40,0.01,1.0,5.636422706833768e-06,0.0014087450344378132,0.0015031980746397226,0.003155353236259512,0.006430059322281971,0.0033513658186588888,0.9364739838712866,0,0.0012471576879363006
mesh-laplacian,50,0.01,1.0,6.773560301316389e-06,0.0017036028240493316,0.0018654676755835895,0.003979586871388342,0.008113112198718485,0.004289939744740263,0.9273971674901451,0,0.0012471576879363006
mesh-laplacian,60,0.01,1.0,7.823357878117277e-06,0.001977849005224918,0.002195604129292538,0.004945055920558891,0.009893764870907719,0.0052285299126646105,0.9117827031846526,0,0.0012471576879363006
mesh-laplacian,10,0.1,0.25,2.4600051568416333e-06,0.0005044772474648484,0.00047982731222433634,0.0009694341371489263,0.0019517754544664534,0.0009841346859807546,0.9678757348357372,0,0.0013319711149388065
mesh-laplacian,20,0.1,0.25,4.35312082685608e-06,0.0008636444982543804,0.0008393814452838809,0.0017093220302809094,0.0034641789747558325,0.001766715430094688,0.951282617251658,0,0.0013319711149388065
mesh-laplacian,30,0.1,0.25,6.134184756171274e-06,0.0011928866619769288,0.001172037609580077,0.0024070448977131656,0.0048913797243553495,0.002522660371099091,0.9442346151202872,0,0.0013319711149388065
mesh-laplacian,40,0.1,0.25,7.818834978041268e-06,0.0015104775838895473,0.0014918360980391765,0.0031310343410523573,0.0063290877391090185,0.0032954090666895484,0.9356618653825738,0,0.0013319711149388065
mesh-laplacian,50,0.1,0.25,9.370829281618371e-06,0.0018186004015695637,0.001837014762929716,0.003928903277922881,0.00790315796525185,0.004176942373709162,0.9277540591722316,0,0.0013319711149388065
mesh-laplacian,60,0.1,0.25,1.0783573709724911e-05,0.002101740296477571,0.002151569139995232,0.004877799682929852,0.009564999185612523,0.005054018321829304,0.9128692632647271,0,0.0013319711149388065
mesh-laplacian,10,0.1,0.5,4.920010313683224e-06,0.0010089544949296845,0.0009599066400726482,0.0019406388239712198,0.003907002115486421,0.001969500079901628,0.9697512802915725,0,0.0026639422298776
mesh-laplacian,20,0.1,0.5,8.706241653712134e-06,0.001727288996508732,0.0016793140474871734,0.003422450506203829,0.006939787605954847,0.0035386926832362956,0.9530950528389011,0,0.0026639422298776
mesh-laplacian,30,0.1,0.5,1.2268369512342597e-05,0.0023857733239538645,0.0023451025246625707,0.004817610394664535,0.009805473146411755,0.005057420006003298,0.9446161844973981,0,0.0026639422298776
mesh-laplacian,40,0.1,0.5,1.5637669956082652e-05,0.003020955167778965,0.0029854519318899472,0.00625835707725098,0.012694808414160763,0.006614167895585896,0.935385471940877,0,0.0026639422298776
mesh-laplacian,50,0.1,0.5,1.8741658563236736e-05,0.0036372008031391873,0.0036765710865571425,0.007843111236918823,0.01586619856596657,0.008394731946767401,0.9283731644232649,0,0.0026639422298776
mesh-laplacian,60,0.1,0.5,2.1567147419449625e-05,0.004203480592955166,0.004306951281812017,0.009698339934151826,0.019191635235388367,0.010167750077037765,0.9160984470332652,0,0.0026639422298776
mesh-laplacian,10,0.1,0.75,7.3800154705248335e-06,0.0015134317423945163,0.0014402400024155224,0.0029138031474282805,0.005865809603220747,0.002956104496613162,0.9716264342613392,0,0.003995913344816425
mesh-laplacian,20,0.1,0.75,1.3059362480568224e-05,0.002590933494763132,0.0025198097703944163,0.005140201002460609,0.010427342461018577,0.005315941100767079,0.9548987457499973,0,0.003995913344816425
mesh-laplacian,30,0.1,0.75,1.8402554268513893e-05,0.0035786599859308275,0.003519227996714735,0.0072338012312181425,0.014743545411543501,0.007604288705153894,0.944977313578609,0,0.003995913344816425
mesh-laplacian,40,0.1,0.75,2.3456504934124125e-05,0.004531432751668516,0.004480925364808947,0.00938619470715151,0.019099552948176023,0.00995624987806039,0.935075533081387,0,0.003995913344816425
mesh-laplacian,50,0.1,0.75,2.8112487844855077e-05,0.005455801204708819,0.005518822101691068,0.011749939318358433,0.023893001228329148,0.01265326781335522,0.928139009118765,0,0.003995913344816425
mesh-laplacian,60,0.1,0.75,3.235072112917437e-05,0.006305220889432734,0.006466419846842499,0.014472644693557322,0.028885644708688773,0.015340993565245568,0.917024278337965,0,0.003995913344816425
mesh-laplacian,10,0.1,1.0,9.840020627366454e-06,0.0020179089898593513,0.0019208294159932019,0.0038891154567842075,0.007828327308416523,0.0039439563503552155,0.9735011967450369,0,0.005327884459755229
mesh-laplacian,20,0.1,1.0,1.741248330742426e-05,0.0034545779930174885,0.003360880561867064,0.006863384958312588,0.013927357492544503,0.007098469939198924,0.956693695984947,0,0.005327884459755229
mesh-laplacian,30,0.1,1.0,2.4536739024685174e-05,0.004771546647907771,0.0046944472177349785,0.009657713563320272,0.019706852277645535,0.010163275326091892,0.9453180023639188,0,0.005327884459755229
mesh-laplacian,40,0.1,1.0,3.12753399121655e-05,0.006041910335558062,0.005978334069206047,0.012518776143750788,0.025545689064904255,0.013321622284703585,0.9347320488041033,0,0.005327884459755229
mesh-laplacian,50,0.1,1.0,3.748331712647343e-05,0.007274401606278402,0.007363920499348774,0.01565673966382425,0.031987390008045666,0.016952427912273443,0.9264908318167693,0,0.005327884459755229
mesh-laplacian,60,0.1,1.0,4.313429483889917e-05,0.008406961185910306,0.008630247243858089,0.01921196701225481,0.03865269586843039,0.020573490861467408,0.9179500589842547,0,0.005327884459755229
mesh-laplacian,10,1.0,0.25,9.622334188813736e-06,0.0008915391744846467,0.0008872582350743609,0.001806772693345979,0.0036254129667418057,0.0018216149410100403,0.9695449278573843,0,0.0023913482381053533
mesh-laplacian,20,1.0,0.25,1.7847638731581644e-05,0.0015416102456927237,0.0015489438702888567,0.0031652116461772014,0.006396837519910953,0.0032529602118419074,0.9530543795990868,0,0.0023913482381053533
mesh-laplacian,30,1.0,0.25,2.5605059032101303e-05,0.002146208084809921,0.0021740852160374497,0.004466783664779794,0.009057872811886731,0.004662351829645788,0.9451965107971366,0,0.0023913482381053533
mesh-laplacian,40,1.0,0.25,3.274523805103703e-05,0.002722622472863672,0.0027716031371348314,0.0057966960187181985,0.011710638139314614,0.006095548280984742,0.9360598676574099,0,0.0023913482381053533
mesh-laplacian,50,1.0,0.25,3.9240762964344925e-05,0.0032699182437341055,0.003395583664855539,0.007234324490541161,0.014528939329599535,0.007678285170108028,0.9303457811272057,0,0.0023913482381053533
mesh-laplacian,60,1.0,0.25,4.5134361468437795e-05,0.003776191207047051,0.003994122909254903,0.008939324511686973,0.017562819735819815,0.009326277951226161,0.9177064979335675,0,0.0023913482381053533
mesh-laplacian,10,1.0,0.5,1.9244668377627466e-05,0.0017830783489692873,0.0017753494931431742,0.0036140525953254053,0.007254245257104062,0.003645209874990889,0.9730860865252652,0,0.004782696476210703
mesh-laplacian,20,1.0,0.5,3.56952774631633e-05,0.003083220491385444,0.003099403329708659,0.006332910970187904,0.012812519742280853,0.006516933734598004,0.9566182012887144,0,0.004782696476210703
mesh-laplacian,30,1.0,0.5,5.1210118064202606e-05,0.004292416169619817,0.004350851492522591,0.008934253403499506,0.018160954714554037,0.0093525516460895,0.9464877837129383,0,0.004782696476210703
mesh-laplacian,40,1.0,0.5,6.549047610207424e-05,0.005445244945727297,0.005547400279963936,0.011574900099342356,0.02349661606754523,0.012243865458170284,0.9360957771644991,0,0.004782696476210703
mesh-laplacian,50,1.0,0.5,7.848152592868984e-05,0.006539836487468269,0.006797238096460714,0.01442113475604139,0.029187457247682912,0.015449670222163613,0.928888329347055,0,0.004782696476210703
mesh-laplacian,60,1.0,0.5,9.026872293687559e-05,0.0075523824140941095,0.00799769917491987,0.017735909803222413,0.03527335643200011,0.018792128697038144,0.9194979217957842,0,0.004782696476210703
mesh-laplacian,10,1.0,0.75,2.886700256644123e-05,0.0026746175234539354,0.002664284037427279,0.005422463787488404,0.010886933137218344,0.005470810893950563,0.9755174680913385,0,0.0071740447143160725
mesh-laplacian,20,1.0,0.75,5.354291619474497e-05,0.004624830737078169,0.004651440859336955,0.009505788197377402,0.01924869436587533,0.00979194636519656,0.9601529040571519,0,0.0071740447143160725
mesh-laplacian,30,1.0,0.75,7.68151770963039e-05,0.006438624254429734,0.006530476684808899,0.013409399450721513,0.027313193722972282,0.014070614715382233,0.9477064241946798,0,0.0071740447143160725
mesh-laplacian,40,1.0,0.75,9.82357141531115e-05,0.008167867418590977,0.0083278150957829,0.01734874805489334,0.035365174440980855,0.018444826099823064,0.9360124419277445,0,0.0071740447143160725
mesh-laplacian,50,1.0,0.75,0.00011772228889303473,0.00980975473120239,0.010205806316426275,0.021584701934569635,0.043986876010489145,0.023313978634278577,0.9266779472874193,0,0.0071740447143160725
mesh-laplacian,60,1.0,0.75,0.0001354030844053135,0.011328573621141228,0.012012261191324758,0.026426549147741094,0.05314769818619847,0.028397629353840773,0.9168542917611135,0,0.0071740447143160725
mesh-laplacian,10,1.0,1.0,3.848933675525497e-05,0.003566156697938575,0.0035540721117451064,0.007232629714060862,0.014523913944889095,0.007298445209639474,0.9759582018984925,0,0.009565392952421415
mesh-laplacian,20,1.0,1.0,7.13905549263266e-05,0.006166440982770872,0.006205118814808811,0.012686526290403056,0.025707005501791714,0.013078025751279742,0.9609318789434147,0,0.009565392952421415
mesh-laplacian,30,1.0,1.0,0.00010242023612840518,0.00858483233923966,0.008713138191074303,0.017899195337961856,0.036518515574046194,0.01881655646375866,0.9452414643609901,0,0.009565392952421415
mesh-laplacian,40,1.0,1.0,0.0001309809522041486,0.010890489891454603,0.011113269886653824,0.023132420029096518,0.0473234912698922,0.02469827519302854,0.9323070919425326,0,0.009565392952421415
mesh-laplacian,50,1.0,1.0,0.00015696305185737962,0.013079672974936484,0.013622128062542977,0.02874950878567131,0.058938335428446495,0.031270907968282406,0.9215088852043184,0,0.009565392952421415
mesh-laplacian,60,1.0,1.0,0.00018053744587375134,0.015104764828188297,0.016039333346604047,0.035049028578121616,0.07120168672599615,0.03814245641218366,0.911730580705892,0,0.009565392952421415
mesh-laplacian,10,10.0,0.25,3.805479703208166e-05,0.0013330378889204106,0.0013602860821434043,0.00273125994436319,0.005514326537585562,0.0027876076968132942,0.9712384429103518,0,0.0037614534183425083
mesh-laplacian,20,10.0,0.25,7.270787274120525e-05,0.0023915136157329933,0.002470437839975017,0.0048805562857994296,0.010023177862936092,0.0051770153748837144,0.9557850964462813,0,0.0037614534183425083
mesh-laplacian,30,10.0,0.25,0.00010564410129209184,0.0033853065698094737,0.003568431719257066,0.006944822214118573,0.014476368115361229,0.00764874438506741,0.9487075319247552,0,0.0037614534183425083
mesh-laplacian,40,10.0,0.25,0.00013613017774538217,0.004314073532522934,0.00464761442645362,0.009002333029619397,0.018933165585019784,0.010225437490345992,0.9402342761720334,0,0.0037614534183425083
mesh-laplacian,50,10.0,0.25,0.000163991373051744,0.005174919477383298,0.005758837357071816,0.011114614994836253,0.02353708320388971,0.013039312880876862,0.9334649878131024,0,0.0037614534183425083
mesh-laplacian,60,10.0,0.25,0.00018945549382469012,0.005969869425685945,0.006890358441924324,0.013495510745109872,0.028485348161041035,0.016133223661702688,0.9193763469506898,0,0.0037614534183425083
mesh-laplacian,10,10.0,0.5,7.61095940641633e-05,0.002666075777840814,0.0027216178204338384,0.005463834573341177,0.011034242350618643,0.005578329292759933,0.9764781723595487,0,0.00752290683668501
mesh-laplacian,20,10.0,0.5,0.00014541574548241048,0.004783027231465978,0.004942052563499208,0.00977255015718026,0.020082164932608067,0.010371223615644425,0.9620790147841173,0,0.00752290683668501
mesh-laplacian,30,10.0,0.5,0.0002112882025841837,0.006770613139618932,0.007137985026102013,0.013912557018222834,0.029043731639184563,0.015342525908106622,0.9534796450402808,0,0.00752290683668501
mesh-laplacian,40,10.0,0.5,0.0002722603554907644,0.008628147065045859,0.009296413368872292,0.01802092356864867,0.03802636777072806,0.020537432641834937,0.944374893546575,0,0.00752290683668501
mesh-laplacian,50,10.0,0.5,0.00032798274610348796,0.010349838954766603,0.011519165332314082,0.022227303687071154,0.047346723495576844,0.026234056178225967,0.9332394842264995,0,0.00752290683668501
mesh-laplacian,60,10.0,0.5,0.0003789109876493804,0.011939738851371874,0.013784468278695174,0.02690159131718625,0.05734850982870671,0.03251324610516213,0.9133286814501392,0,0.00752290683668501
mesh-laplacian,10,10.0,0.75,0.00011416439109624498,0.003999113666761208,0.0040840166580832175,0.008198496540403725,0.016560253889524448,0.008372205514526498,0.9816297912573289,0,0.011284360255027492
mesh-laplacian,20,10.0,0.75,0.0002181236182236157,0.007174540847198963,0.007414979409336043,0.014679422635555434,0.0301787477179765,0.015582732697284647,0.967890965913562,0,0.011284360255027492
mesh-laplacian,30,10.0,0.75,0.0003169323038762755,0.010155919709428378,0.01070905466659482,0.02091233388166096,0.04370620675268622,0.02308159426725041,0.9534418222725152,0,0.011284360255027492
mesh-laplacian,40,10.0,0.75,0.00040839053323614655,0.01294222059756874,0.013947303131526078,0.027074457292145762,0.057286878900653405,0.030936408427174645,0.9411829254312097,0,0.011284360255027492
mesh-laplacian,50,10.0,0.75,0.0004919741191552317,0.01552475843214992,0.017282723196517448,0.03337025985614957,0.0714398800702238,0.03958538125085006,0.9243729012093804,0,0.011284360255027492
mesh-laplacian,60,10.0,0.75,0.0005683664814740705,0.01790960827705775,0.020685331090453903,0.040268350723539945,0.08660477311064944,0.049142705057643746,0.90781506065594,0,0.011284360255027492
mesh-laplacian,10,10.0,1.0,0.00015221918812832665,0.005332151555681608,0.005447504004924782,0.010936017464793035,0.02209286996896888,0.011169279422367177,0.9818265427742777,0,0.015045813673369985
mesh-laplacian,20,10.0,1.0,0.00029083149096482096,0.00956605446293195,0.009889353477632529,0.01960459546085609,0.04031471103536941,0.02081165760295319,0.9640099243281566,0,0.015045813673369985
mesh-laplacian,30,10.0,1.0,0.0004225764051683674,0.013541226279237857,0.014282035080606527,0.027953206505948073,0.05846788348640539,0.030866210711693497,0.946820007162936,0,0.015045813673369985
mesh-laplacian,40,10.0,1.0,0.0005445207109815287,0.017256294130091634,0.018601189321472644,0.0361815012396733,0.07672188656750184,0.041422769082169374,0.9306213007631831,0,0.015045813673369985
mesh-laplacian,50,10.0,1.0,0.0006559654922069758,0.020699677909533178,0.023051248620803103,0.04457556440462979,0.09582726139015353,0.05309431118708652,0.9160220166101237,0,0.015045813673369985
mesh-laplacian,60,10.0,1.0,0.0007578219752987607,0.02387947770274368,0.027595943451843182,0.053646316613668026,0.11626900939260539,0.06602374987311053,0.9028354845680898,0,0.015045813673369985
