method,loadstep,lambda_smooth,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,J_min,J_nonpositive_count,mean_F_rmse
mesh-laplacian,30,0.0,1.0,1.4085339338417802e-18,2.722875924865012e-16,3.8665013077046413e-16,8.866038334452679e-16,1.7011390161626311e-15,8.232755448654023e-16,0.9438326054472757,0,3.210704090808599e-16
mesh-laplacian,40,0.0,1.0,1.747005224140383e-18,3.5813287378270315e-16,5.602300000143309e-16,1.35057070632035e-15,2.59157410711709e-15,1.2461701971618706e-15,0.9359047134064776,0,3.210704090808599e-16
mesh-laplacian,50,0.0,1.0,2.2027604783273058e-18,4.569243192276833e-16,6.445575490978042e-16,1.6812510805854678e-15,3.126034917854639e-15,1.4575621947831297e-15,0.9255560911311996,0,3.210704090808599e-16
mesh-laplacian,60,0.0,1.0,2.6337923315566575e-18,5.250720364642622e-16,7.519337581195654e-16,1.9075692742033926e-15,3.63448865669083e-15,1.7421204443000647e-15,0.9078486563598229,0,3.210704090808599e-16
mesh-laplacian,10,1e-06,0.25,5.2052459052804356e-11,1.4191769172628056e-08,1.4595387588456121e-08,2.948395576773527e-08,5.9430840122362525e-08,2.9999104255053124e-08,0.9659998492073426,0,3.7472034085526416e-08
mesh-laplacian,20,1e-06,0.25,9.039707027487015e-11,2.4246025305160708e-08,2.5835406875207364e-08,5.2670737081666954e-08,1.0699465437935075e-07,5.4635179873254784e-08,0.9494614988604207,0,3.7472034085526416e-08
mesh-laplacian,30,1e-06,0.25,1.2619840451906126e-10,3.3387984964625846e-08,3.6295204683028695e-08,7.464906948473899e-08,1.5234696177466608e-07,7.86647468224501e-08,0.943832636743386,0,3.7472034085526416e-08
mesh-laplacian,40,1e-06,0.25,1.6076443592570543e-10,4.2273049572159695e-08,4.639136645896451e-08,9.763663153795714e-08,1.9863047404116397e-07,1.0337322230222307e-07,0.9359047398255795,0,3.7472034085526416e-08
mesh-laplacian,50,1e-06,0.25,1.93429707109808e-10,5.119525187438332e-08,5.765073500905656e-08,1.233994447376126e-07,2.5098233097808575e-07,1.32390024476353e-07,0.9255561752858431,0,3.7472034085526416e-08
mesh-laplacian,60,1e-06,0.25,2.2376300112281306e-10,5.953812362420085e-08,6.790915879804062e-08,1.5383557411303376e-07,3.0673440353434314e-07,1.614434568214668e-07,0.9078487674249586,0,3.7472034085526416e-08
mesh-laplacian,10,1e-06,0.5,1.0410491813960203e-10,2.8383538346584583e-08,2.9190775409797787e-08,5.896791264638622e-08,1.1886168269859707e-07,5.999820937069467e-08,0.9659999005208523,0,7.494406822043198e-08
mesh-laplacian,20,1e-06,0.5,1.8079414060161072e-10,4.849205066935309e-08,5.167081452488347e-08,1.0534147760624563e-07,2.1398931896971247e-07,1.0927036439100415e-07,0.9494615587325663,0,7.494406822043198e-08
mesh-laplacian,30,1e-06,0.5,2.5239680904598404e-10,6.677596993421742e-08,7.259041077191647e-08,1.4929814255193144e-07,3.0469394399177703e-07,1.5732950458795158e-07,0.9438326680394827,0,7.494406822043198e-08
mesh-laplacian,40,1e-06,0.5,3.2152887186669115e-10,8.454609919495376e-08,9.278273554881817e-08,1.9527326186369752e-07,3.972609828404405e-07,2.0674646704875515e-07,0.9359047662446583,0,7.494406822043198e-08
mesh-laplacian,50,1e-06,0.5,3.8685941430384674e-10,1.0239050389164168e-07,1.153014742591041e-07,2.4679888186354446e-07,5.019647218381537e-07,2.6478009024551555e-07,0.925556259440487,0,7.494406822043198e-08
mesh-laplacian,60,1e-06,0.5,4.4752600238286237e-10,1.1907624728584136e-07,1.3581832358292716e-07,3.076711064820679e-07,6.134688708526305e-07,3.228869740234581e-07,0.9078488784900942,0,7.494406822043198e-08
mesh-laplacian,10,1e-06,0.75,1.5615737720523595e-10,4.2575307526486025e-08,4.378616341836816e-08,8.845187051737391e-08,1.782925274697833e-07,8.999731523565711e-08,0.9659999518343622,0,1.124161023131767e-07
mesh-laplacian,20,1e-06,0.75,2.7119121088891717e-10,7.273807599380157e-08,7.750622283814566e-08,1.580122213452563e-07,3.209839933249392e-07,1.639055533305003e-07,0.9494616186047061,0,1.124161023131767e-07
mesh-laplacian,30,1e-06,0.75,3.7859521347543804e-10,1.0016395486936596e-07,1.0888561820572655e-07,2.239472190720127e-07,4.5704094636859243e-07,2.3599427312943915e-07,0.9438326993355646,0,1.124161023131767e-07
mesh-laplacian,40,1e-06,0.75,4.822933076790013e-10,1.2681914864901943e-07,1.3917410701653648e-07,2.929098906082842e-07,5.958915254709708e-07,3.101197336901468e-07,0.935904792663714,0,1.124161023131767e-07
mesh-laplacian,50,1e-06,0.75,5.802891214782208e-10,1.53585755819019e-07,1.7295221728125223e-07,3.701983103198993e-07,7.529471703048549e-07,3.971701961441847e-07,0.9255563435951311,0,1.124161023131767e-07
mesh-laplacian,60,1e-06,0.75,6.71289003558362e-10,1.786143710213682e-07,2.0372749443490316e-07,4.615065968310923e-07,9.202034016963219e-07,4.843305516460636e-07,0.9078489895552275,0,1.124161023131767e-07
