x,y,ux,uy,bcx,bcy
0.3356401384083045,1.0,-0.0005178158726029,0.0723558636418792,0.0,1.0
0.3391003460207612,1.0,-0.0005394689770015,0.0721600341495271,0.0,1.0
0.3425605536332179,1.0,-0.0005637805178046,0.0719337270068073,0.0,1.0
0.3460207612456747,1.0,-0.0005940541422283,0.0716917153235923,0.0,1.0
0.3494809688581315,1.0,-0.0006077157817737,0.0714767646075881,0.0,1.0
0.3529411764705882,1.0,-0.0006329303338098,0.0712565720728729,0.0,1.0
0.356401384083045,1.0,-0.0006621751952626,0.0710590402371792,0.0,1.0
0.3598615916955017,1.0,-0.0006946254143111,0.0708605889619269,0.0,1.0
0.3633217993079585,1.0,-0.0007371195553964,0.0706441911505355,0.0,1.0
0.3667820069204152,1.0,-0.0007847342192174,0.0704612466050642,0.0,1.0
0.370242214532872,1.0,-0.0008161333726714,0.0702714820278428,0.0,1.0
0.3737024221453287,1.0,-0.0008641401909901,0.0700979219864214,0.0,1.0
0.3771626297577855,1.0,-0.0009246150440171,0.0699157144059666,0.0,1.0
0.3806228373702422,1.0,-0.0009723596593644,0.0697436770830856,0.0,1.0
0.3840830449826989,1.0,-0.0010224665127353,0.0695719279237323,0.0,1.0
0.3875432525951557,1.0,-0.0010844659921694,0.069421662969189,0.0,1.0
0.3910034602076124,1.0,-0.001142507365871,0.0692453836752674,0.0,1.0
0.3944636678200692,1.0,-0.0012072610467171,0.0690916743339674,0.0,1.0
0.3979238754325259,1.0,-0.0012611603848762,0.0689451006335217,0.0,1.0
0.4013840830449827,1.0,-0.0013147751190311,0.0688238381096224,0.0,1.0
0.4048442906574394,1.0,-0.0013823445597768,0.0686905657909775,0.0,1.0
0.4083044982698962,1.0,-0.0014360274901167,0.0685841402400454,0.0,1.0
0.4117647058823529,1.0,-0.0014958863855456,0.0684595543800037,0.0,1.0
0.4152249134948096,1.0,-0.0015593389635326,0.0683393185825948,0.0,1.0
0.4186851211072664,1.0,-0.0016360074342404,0.0682216976929873,0.0,1.0
0.4221453287197231,1.0,-0.0016924942067197,0.0681103526528566,0.0,1.0
0.4256055363321799,1.0,-0.0017617590588953,0.0680151968273211,0.0,1.0
0.4290657439446367,1.0,-0.0018359768594404,0.0678940330103187,0.0,1.0
0.4325259515570934,1.0,-0.0018937227259625,0.0678028956297253,0.0,1.0
0.4359861591695502,1.0,-0.001971310854647,0.067691068413946,0.0,1.0
0.4394463667820069,1.0,-0.0020373463443097,0.0676019129811931,0.0,1.0
0.4429065743944637,1.0,-0.0021016642373094,0.0675199678688627,0.0,1.0
0.4463667820069204,1.0,-0.00217383244807,0.0674382246623841,0.0,1.0
0.4498269896193771,1.0,-0.0022405518271069,0.0673546878349119,0.0,1.0
0.4532871972318339,1.0,-0.0023223463113535,0.0672793954393906,0.0,1.0
0.4567474048442906,1.0,-0.002396888920403,0.0672141624141163,0.0,1.0
0.4602076124567474,1.0,-0.0024591858305639,0.0671533532725384,0.0,1.0
0.4636678200692041,1.0,-0.0025388931072517,0.0670920115649021,0.0,1.0
0.4671280276816609,1.0,-0.0026036577743212,0.0670251508329752,0.0,1.0
0.4705882352941176,1.0,-0.0026721942509142,0.0669793272796759,0.0,1.0
0.4740484429065744,1.0,-0.0027355464572828,0.0669378349285989,0.0,1.0
0.4775086505190311,1.0,-0.0027981349461859,0.0668893871811792,0.0,1.0
0.4809688581314879,1.0,-0.0028652364003638,0.0668384254796409,0.0,1.0
0.4844290657439446,1.0,-0.0029296829350734,0.0668036973352081,0.0,1.0
0.4878892733564013,1.0,-0.002979721304063,0.0667734220719168,0.0,1.0
0.4913494809688581,1.0,-0.0030467497203812,0.0667441682756024,0.0,1.0
0.4948096885813148,1.0,-0.0031113063478837,0.0667106081899641,0.0,1.0
0.4982698961937716,1.0,-0.0031667327085828,0.0666795395831052,0.0,1.0
0.5017301038062284,1.0,-0.00323397371511,0.0666583479688033,0.0,1.0
0.5051903114186851,1.0,-0.0032944677990895,0.0666430016158389,0.0,1.0
0.5086505190311419,1.0,-0.0033514380328315,0.0666217511190933,0.0,1.0
0.5121107266435986,1.0,-0.0034268430456051,0.0666006212771815,0.0,1.0
0.5155709342560554,1.0,-0.0034845972959065,0.0665924720592361,0.0,1.0
0.5190311418685121,1.0,-0.0035477602280489,0.0665752666416271,0.0,1.0
0.5224913494809689,1.0,-0.003613957782579,0.0665730993733222,0.0,1.0
0.5259515570934256,1.0,-0.0036754401675439,0.0665701497466643,0.0,1.0
0.5294117647058824,1.0,-0.0037352267000509,0.0665660804457661,0.0,1.0
0.532871972318339,1.0,-0.0038015042205585005,0.066573587588134,0.0,1.0
0.5363321799307958,1.0,-0.0038527575609932,0.0665902645384499,0.0,1.0
0.5397923875432526,1.0,-0.003921270347595,0.0665974695985568,0.0,1.0
0.5432525951557093,1.0,-0.0039700674496877,0.0666233234258414,0.0,1.0
0.5467128027681661,1.0,-0.0040405003440874,0.0666454804055714,0.0,1.0
0.5501730103806228,1.0,-0.0040941258609518,0.0666654232950947,0.0,1.0
0.5536332179930796,1.0,-0.0041549651684163,0.0666923773924828,0.0,1.0
0.5570934256055363,1.0,-0.0042063263021143,0.0667308413249578,0.0,1.0
0.5605536332179931,1.0,-0.0042517512795565,0.0667737377081117,0.0,1.0
0.5640138408304498,1.0,-0.004309225883609,0.066797827840466,0.0,1.0
0.5674740484429066,1.0,-0.0043583289000974,0.0668413646691545,0.0,1.0
