node1,node2,node3,Fxx,Fxy,Fyx,Fyy,Pxx,Pxy,Pyx,Pyy
0,1,2,1.2385275302895227,-0.0003869650568646965,0.0,1.2689980528852054,1.513724570201692,-0.0002862600017154166,0.0001822048669929605,1.5219181119117546
0,2,3,1.238453253327585,-0.00035282070806791355,-0.00013368057263107858,1.2690595044575392,1.513559415555786,-0.00019807459079272834,6.719527534134622e-05,1.5217931558465512
2,1,4,1.2389210652241298,-9.658074374530035e-05,-0.000355937199099543,1.268735411452429,1.5152140520685249,9.654408748692786e-05,-0.00021770608694001453,1.5231968643713787
5,0,3,1.2382867221960567,-0.0004893072696920964,0.0,1.2691690671654072,1.512913234121409,-0.00036198274711593466,0.00023010410669982364,1.521236678140508
2,6,3,1.2385704486596818,-0.00081429463874505,-0.00016454103752039373,1.2691810220963369,1.515964116093608,-0.0005245437903954482,0.00026314105440565527,1.5241388157296867
1,7,4,1.238889731585208,-8.51118359070091e-05,0.0,1.2686051293954037,1.513611528933946,-6.296277793507852e-05,4.0061573017551e-05,1.5216071080118168
8,2,4,1.2388957745459304,-0.00031372870839951883,-0.00037999050537251833,1.2685288876708327,1.512924946222839,-5.344153370165925e-05,-0.00013361451302433162,1.5209152871032177
9,5,3,1.238239345130821,-0.0004505297171666922,-0.0004072626563100812,1.2695024067036034,1.5156942154032678,-0.00014082740370686936,-8.838152911912667e-05,1.5240479536755251
10,5,9,1.2378406259794563,-0.0006227628289423581,0.0,1.269678330318925,1.5132959780569157,-0.00046069877380528656,0.00029310796040231553,1.5218637770955903
11,10,12,1.2368832438025865,-0.0006669145397335541,0.0,1.2706494639836023,1.5129107494039329,-0.000493363719926656,0.0003138149970716844,1.522001391979463
6,2,13,1.238763685908365,-0.0005126097199755764,-0.0004961967834145042,1.2686632361237038,1.5128775607302594,-0.00014594322637531947,-0.00012608467900033192,1.5209400702297868
6,9,3,1.2381090425418735,-0.0007996765457820576,-0.0005229664019683611,1.269192377592276,1.51130215905783,-0.0003463520264421374,-1.1843142808021147e-05,1.519720077497713
7,14,4,1.238974843421115,0.0,-7.395397180331997e-05,1.268531175423604,1.5137649725395943,3.481731565397452e-05,-5.4708198558053014e-05,1.5217145325782369
2,8,13,1.239069784170861,-0.0005034374038252465,-0.0005030332413760163,1.2686630312674154,1.5160388546337806,-0.00013465867492195075,-0.00013416873174579356,1.5239431843921891
