node1,node2,node3,Fxx,Fxy,Fyx,Fyy,Pxx,Pxy,Pyx,Pyy
0,1,2,1.0266928689928008,-1.0072642459758863e-05,0.0,1.0457329742767993,0.23591508266062824,-1.0323299454804218e-05,-7.862972535514737e-06,0.27029221207851445
0,2,3,1.026685201521202,-6.547985314069027e-06,-1.196951305715288e-05,1.0457384765377704,0.23589460241112878,-1.6054774706940785e-05,-1.7378985050345805e-05,0.2702957189515049
2,1,4,1.0267035600640355,-2.1838399570199563e-06,-1.1157416678564402e-05,1.0457247413640558,0.2359420991818301,-1.0947835018686685e-05,-1.313978833926504e-05,0.270284819924089
5,0,3,1.0266755707502608,-1.4441229054723559e-05,0.0,1.0457482865814924,0.23587682925761336,-1.4800620200681712e-05,-1.1273347538078482e-05,0.27031305178340087
2,6,3,1.0266895712692639,-2.3754513749071893e-05,-1.4188205046394842e-05,1.0457472129651966,0.23593883699886725,-3.542054757216025e-05,-3.3083548232533245e-05,0.2703466642179961
1,7,4,1.0267038550265453,-2.2918037287239512e-06,0.0,1.0457206574661106,0.23593226613864512,-2.348836735747395e-06,-1.7890526220356315e-06,0.27026741598042203
8,2,4,1.026702631717085,-1.0154707688121711e-05,-1.1968250881899678e-05,1.045717779470996,0.23591869656327152,-1.9750425150135568e-05,-2.0193366655240506e-05,0.2702512249464041
9,5,3,1.0266713925772042,-1.102144514976422e-05,-2.1184464829460126e-05,1.0457656258086818,0.23590500303176484,-2.783188958446673e-05,-3.031465425498029e-05,0.27037891388835095
10,5,9,1.0266519955715394,-1.9400291847632145e-05,0.0,1.0457747767769416,0.23584010944351141,-1.9883066143036326e-05,-1.5144391443497182e-05,0.2703665182660827
11,10,12,1.02661204163494,-2.1597615265878112e-05,0.0,1.0458182145105144,0.23577387164598715,-2.2135032914140737e-05,-1.6859467273994016e-05,0.27045062195338315
6,2,13,1.02669375723364,-1.7219322778129487e-05,-2.8152117582225245e-05,1.0457254122934962,0.23589845983839597,-3.962494130937219e-05,-4.229512345396626e-05,0.2702609222748795
6,9,3,1.026666908516723,-2.303652105099807e-05,-2.789413595016832e-05,1.045747647191281,0.2358348845761054,-4.538620048164822e-05,-4.6572518380115994e-05,0.2702864386451581
7,14,4,1.0267061468302738,0.0,-2.7902063837181856e-06,1.0457178672597274,0.23593524505084876,-2.1781260262728383e-06,-2.8596432763664836e-06,0.2702612584043501
2,8,13,1.0267087009734313,-1.677152962597378e-05,-1.921506966162667e-05,1.045725680094523,0.23596852226570814,-3.218789704822384e-05,-3.278482547398002e-05,0.2703031060305123
14,8,4,1.026709536831943,-9.261656797827922e-06,-3.174364805680341e-06,1.0457189168000562,0.2359538503293377,-1.1970069597414458e-05,-1.0483135625954197e-05,0.27027523728058145
10,9,12,1.0266342790720406,-8.406607055949644e-06,-3.5788838506078946e-05,1.0457969849569277,0.23581882137619967,-3.6552935317879765e-05,-4.324163249086538e-05,0.2704169528055779
11,12,15,1.026591704766021,-1.0251941843175683e-05,-3.779570994000281e-05,1.045839300243204,0.23573733831902055,-4.001098222368323e-05,-4.673901169739411e-05,0.2704888553788583
16,11,15,1.0265695889794888,-2.3929049637522182e-05,0.0,1.0458626743157589,0.23569882637487885,-2.452446394580683e-05,-1.8679335668756278e-05,0.27053241172166387
17,6,13,1.026704386018903,-3.6235503940440505e-05,-3.003971233894731e-05,1.0457287894286036,0.2359570292828718,-6.058592364340624e-05,-5.9072391195043914e-05,0.2703051337572115
18,9,6,1.0266758142134258,-4.21487255251457e-05,-3.413248956940507e-05,1.0457610351039772,0.2359129196802383,-6.984058358378946e-05,-6.788226679763212e-05,0.2703705645663647
8,19,13,1.0267107379958058,-1.1281103365070547e-05,-2.6171903985794387e-05,1.0457069292028547,0.23592654123143283,-3.1993185055119554e-05,-3.563000152272276e-05,0.2702250681887696
14,20,8,1.0267156069311836,0.0,-1.0105330477294672e-05,1.0457083416475283,0.23595300401277652,-7.888543316145983e-06,-1.0356810162439804e-05,0.2702447235367885
9,21,12,1.026637535413636,-5.2625886342042016e-05,-3.5736987925361063e-05,1.0457962808553367,0.23583199171963432,-8.18315465496681e-05,-7.770592158088587e-05,0.27042273772765063
15,12,22,1.0265944815875034,-6.143789293353019e-05,-3.8006423660252864e-05,1.0458431843899634,0.23576086816775055,-9.263378570647558e-05,-8.690972505872982e-05,0.2705137811265132
23,16,15,1.0265462449727543,-9.726727748779473e-06,-4.992666548009339e-05,1.0458930493315834,0.23567380809479213,-4.8940845663265755e-05,-5.876131589246789e-05,0.27060380177769705
24,16,23,1.0265155814852804,-2.743030049612294e-05,0.0,1.0459218745053382,0.23561056878882514,-2.8112763006991927e-05,-2.1412039569332034e-05,0.2706482028348756
17,18,6,1.02668437857942,-3.2832709218375e-05,-5.921481884396673e-05,1.0457337514277891,0.23587781524191526,-7.987646207268206e-05,-8.631980946808055e-05,0.27027238084552974
17,13,25,1.0267101638305054,-2.953638233336997e-05,-4.6495609066887766e-05,1.0457097095310712,0.23593149839659086,-6.65682417754739e-05,-7.071035968448197e-05,0.2702358880899307
