loadstep,alpha,gamma,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse
10,1e-10,100.0,0.5,7.165196485784135e-05,0.00453157469451827,0.0067862898609346465,0.013586779925918639,0.029136128290041387,0.015580087627234326
20,1e-10,100.0,0.5,7.196279220017559e-05,0.004547475634533201,0.0074412368764129565,0.014698372294075446,0.03359607109430687,0.019233401790934433
30,1e-10,100.0,0.5,7.854369575014114e-05,0.005106955322378497,0.008744461458570241,0.023178837367657884,0.04310730766090293,0.02531870676888403
40,1e-10,100.0,0.5,0.00014248043045349875,0.009638316908137644,0.015877057786278417,0.11704717662490409,0.14594554126564901,0.05954056020086551
