loadstep,alpha,gamma,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,mean_F_rmse
10,1e-10,0.1,0.25,0.0004417679981265903,0.007425514921077324,0.009860683730097203,0.02016601758601917,0.04259593988487694,0.02272648352942324,0.024273190666102472
20,1e-10,0.1,0.25,0.0012966657027459734,0.01602012225037588,0.020620219915317206,0.051991789512704376,0.09954656017247228,0.0546553417404613,0.024273190666102472
30,1e-10,0.1,0.25,0.002532752884366931,0.029615592317879524,0.04247966120625223,0.1365206752050543,0.22613693177375258,0.133236705737179,0.024273190666102472
40,1e-10,0.1,0.25,0.0038050343471219238,0.04403153317507716,0.07422339955465661,0.2818190349758127,0.4170039842393022,0.2907886316138113,0.024273190666102472
10,1e-10,0.1,0.5,0.0008723798234130992,0.01091014528970393,0.012678378913182345,0.026866974943871108,0.05568662871077448,0.029571214060296145,0.04678778050209592
20,1e-10,0.1,0.5,0.0025892766391706,0.030414338216871218,0.038099438937434844,0.10065893198450414,0.19180584816943308,0.10427129875309045,0.04678778050209592
30,1e-10,0.1,0.5,0.0050623253865779904,0.058392441132766364,0.08273468811935877,0.2769151439972882,0.47397964585398816,0.2771868261627465,0.04678778050209592
40,1e-10,0.1,0.5,0.0076069155878167385,0.08743419736904219,0.1457672040487247,0.5717935188685951,0.9251514252318008,0.6499865759375009,0.04678778050209592
10,1e-10,0.1,0.75,0.001306700060127391,0.015583169288362989,0.017472693546653137,0.03776752320545621,0.07794774464510706,0.04122893925585145,0.06985182393613618
20,1e-10,0.1,0.75,0.003883133028731922,0.04533726774170959,0.05675138037407436,0.15323951465929614,0.2959249015665606,0.1601112778110531,0.06985182393613618
30,1e-10,0.1,0.75,0.007592547168438376,0.08745887365297461,0.12361972329689642,0.42636276295971776,0.7586323625471111,0.4430260528779384,0.06985182393613618
40,1e-10,0.1,0.75,0.011409220990665221,0.13102798506149752,0.2172282465466664,0.8763714708749595,1.5492384886035213,1.0989973997161842,0.06985182393613618
10,1e-10,0.1,1.0,0.0017419570708501245,0.020653085878994785,0.023054700721996852,0.05045513314224346,0.10417535322688705,0.05494164193150468,0.09307993509060511
20,1e-10,0.1,1.0,0.005177301204170003,0.06039827769280075,0.0758219088774787,0.2089087103130571,0.40890498484134397,0.2206448810074576,0.09307993509060511
30,1e-10,0.1,1.0,0.010122931380256304,0.11659852274342508,0.16491746284282263,0.5861447777895075,1.0821925475175929,0.6342173985470483,0.09307993509060511
40,1e-10,0.1,1.0,0.015211632487796216,0.17466985404719984,0.2889192570470427,1.199998953688447,2.305220781683048,1.6554471731118612,0.09307993509060511
10,1e-10,1.0,0.25,0.0001615675835044282,0.006126426375613958,0.008957626322929815,0.01863416942299184,0.03900095372738977,0.02062639430717333,0.012467190361996864
20,1e-10,1.0,0.25,0.00037675424200197264,0.009281413809482178,0.014121576958914231,0.039350246660590026,0.069744935861152,0.037486698409145355,0.012467190361996864
30,1e-10,1.0,0.25,0.0006515641427615193,0.014245673961338056,0.027515188828047595,0.09735821115085756,0.14467295855299686,0.08978895910281609,0.012467190361996864
40,1e-10,1.0,0.25,0.0009256050749211619,0.020215247301553267,0.051762640159248426,0.20351238341098377,0.27573937421359235,0.2175599491465809,0.012467190361996864
10,1e-10,1.0,0.5,0.00029191281683852734,0.006940367578377144,0.009637985897805129,0.02177687545293559,0.0435466302698673,0.022516714731286348,0.02209664576124332
20,1e-10,1.0,0.5,0.0007411619434362306,0.01559605738284868,0.02318972172859189,0.07324635374804694,0.12318956760284039,0.06408725098443104,0.02209664576124332
30,1e-10,1.0,0.5,0.0012950125481505286,0.02663338988394962,0.051511676978736855,0.19469188871117785,0.29255653709638807,0.18025467323785355,0.02209664576124332
40,1e-10,1.0,0.5,0.0018457848237201286,0.03921676819979784,0.1004368000123007,0.4084453689396959,0.594996819229541,0.4679383167724748,0.02209664576124332
10,1e-10,1.0,0.75,0.00043258443861733176,0.009113889171663739,0.012357827835778589,0.029259332227268422,0.05751498413999259,0.029378165886077886,0.03255463635649898
20,1e-10,1.0,0.75,0.001109873512159451,0.02283816937240186,0.033914592209530345,0.11093031300109421,0.18834924865587757,0.09688364989454157,0.03255463635649898
30,1e-10,1.0,0.75,0.001940987910626164,0.03962912630409517,0.07626252164051721,0.29708519974470127,0.4635582083236807,0.28316003596504863,0.03255463635649898
40,1e-10,1.0,0.75,0.0027677100758439132,0.05863736057783515,0.14945700289710084,0.6174848285031129,0.980152667175595,0.7629862511047548,0.03255463635649898
10,1e-10,1.0,1.0,0.0005760665723137091,0.011925431701492455,0.016131836264080473,0.038861699796177054,0.07637730710273918,0.03887657566449738,0.04330683828005476
20,1e-10,1.0,1.0,0.0014796750719841957,0.030350940108719256,0.045188032648813145,0.1508694848938487,0.2605559447406135,0.13324534428416063,0.04330683828005476
30,1e-10,1.0,1.0,0.0025875984116785476,0.052785697033942036,0.10123766647950372,0.4041569228497863,0.6568364820746571,0.3986933496072463,0.04330683828005476
40,1e-10,1.0,1.0,0.0036900727770705186,0.07816528427606527,0.19892624072215145,0.8315565227607907,1.4424245486205722,1.1126208090245255,0.04330683828005476
10,1e-10,10.0,0.25,7.687350544600273e-05,0.005403139580394249,0.008086890436870832,0.01619782520316743,0.03472886952628976,0.01856776326406861,0.006280400936500641
20,1e-10,10.0,0.25,8.034654695885061e-05,0.005455758330208922,0.009109142999093659,0.017498555463744205,0.04048514815325533,0.023646087776570287,0.006280400936500641
30,1e-10,10.0,0.25,9.212893936062166e-05,0.005929420743873862,0.011900891172532275,0.02394206194451693,0.05400957839237445,0.03698815233649795,0.006280400936500641
40,1e-10,10.0,0.25,0.00013474081008875153,0.008333285091525535,0.015854448900188917,0.0807619363598986,0.10055321694049688,0.06342394112113137,0.006280400936500641
10,1e-10,10.0,0.5,5.950128923512286e-05,0.003770907401937468,0.005699241141032244,0.011310139726101644,0.024343568193833057,0.013108413890160311,0.006876724349665251
20,1e-10,10.0,0.5,7.769617606771089e-05,0.004301480120928877,0.008178808845580206,0.013988629953826328,0.03387906282363473,0.022003975020372196,0.006876724349665251
30,1e-10,10.0,0.5,0.00011515996969397852,0.006044283569173149,0.015563237398656197,0.03165381293436192,0.06869090732697115,0.054398274679211406,0.006876724349665251
40,1e-10,10.0,0.5,0.00023070830417878813,0.01339022630662151,0.02495292826863464,0.157180854177967,0.18434502824026164,0.11537678594119839,0.006876724349665251
10,1e-10,10.0,0.75,5.1912170939942885e-05,0.0024967270171467183,0.003948694785946884,0.007478820632911102,0.016459356305028802,0.009180702011150375,0.00837442292588879
20,1e-10,10.0,0.75,9.181936015944025e-05,0.004064134144320822,0.009225366604714345,0.013639244286704637,0.03574880437388871,0.026033586672929696,0.00837442292588879
30,1e-10,10.0,0.75,0.0001555355182883341,0.007443047887313121,0.02136940553271163,0.04370281052598868,0.09583517313020382,0.0789425216785836,0.00837442292588879
40,1e-10,10.0,0.75,0.0003389722537343495,0.0194937826547745,0.0359562199602598,0.2342155805515052,0.28058056231482637,0.17580208659162788,0.00837442292588879
10,1e-10,10.0,1.0,5.807706993921892e-05,0.002288149212292246,0.0038387524940748626,0.006823041183811746,0.015564576374214819,0.00908712528571614,0.010665284655689052
20,1e-10,10.0,1.0,0.00011678126982458977,0.004879412289867312,0.01172854356654336,0.016672721382775223,0.04533673516966089,0.033978620560557206,0.010665284655689052
30,1e-10,10.0,1.0,0.00020316539556632443,0.00957887385461679,0.028021816818517335,0.05742188257992664,0.12917993032803227,0.10693450195540226,0.010665284655689052
40,1e-10,10.0,1.0,0.0004507579033776882,0.025914703265979864,0.0476514507918704,0.3110589476023347,0.3850531495443172,0.24188091500418052,0.010665284655689052
10,1e-10,30.0,0.25,7.810934279930647e-05,0.005442389506095297,0.008143463757173812,0.016325069052144613,0.034987701094686775,0.01869490829371007,0.006067652665430573
20,1e-10,30.0,0.25,7.785306243559924e-05,0.005415599382914575,0.00879089815680105,0.017353301701144335,0.039762230210034076,0.022688163465201076,0.006067652665430573
30,1e-10,30.0,0.25,8.189034143764385e-05,0.00569230675277072,0.009724448429851979,0.02200628590095236,0.04648791202252327,0.027700620134471592,0.006067652665430573
40,1e-10,30.0,0.25,0.0001149807788142867,0.007720315019941698,0.01174101413671206,0.07454352805582756,0.09287475311586733,0.03749260813940118,0.006067652665430573
10,1e-10,30.0,0.5,5.9153863481007176e-05,0.003795218544801412,0.005704164590620928,0.011424086038398352,0.024489755608658625,0.013095116957980326,0.0060947974282332664
20,1e-10,30.0,0.5,6.010385265230508e-05,0.003882548378469189,0.006206448274558042,0.012367702820190693,0.02800335378877274,0.016044342877594438,0.0060947974282332664
30,1e-10,30.0,0.5,7.495598651858593e-05,0.004947593035132151,0.007750676046617905,0.025460807220187183,0.0403355056098955,0.022889970649902114,0.0060947974282332664
40,1e-10,30.0,0.5,0.00018049802892863013,0.011753829754530314,0.013712714040017651,0.1446336279003155,0.1615035385319239,0.048251296253999154,0.0060947974282332664
10,1e-10,30.0,0.75,4.468334303756408e-05,0.002347000356221483,0.00360590525565264,0.007150640963286988,0.015393292951710002,0.008282569122138947,0.006812903758924786
20,1e-10,30.0,0.75,4.838937607815623e-05,0.002746140059886693,0.004139358092260353,0.008507856104399508,0.018354387290807128,0.010808323239699881,0.006812903758924786
30,1e-10,30.0,0.75,8.127842072289283e-05,0.0052442276222241825,0.00715140617626316,0.03343233378459893,0.04293347504253045,0.022440312328949323,0.006812903758924786
40,1e-10,30.0,0.75,0.0002603178029099214,0.016914246997366787,0.01778267611751437,0.2157664592994396,0.23589815660332625,0.06526730009444354,0.006812903758924786
10,1e-10,30.0,1.0,3.9916590202427826e-05,0.0017128292804462107,0.0027771953237929513,0.00532485375630058,0.011650274972858135,0.006391931427526276,0.008295996678798264
20,1e-10,30.0,1.0,4.7415980126441e-05,0.0025942294864385197,0.003620628250154835,0.00770711585582291,0.015465049116514641,0.009642380454288169,0.008295996678798264
30,1e-10,30.0,1.0,9.83329715887469e-05,0.006439883205840896,0.008226306958246339,0.043518687492128325,0.05302749746333599,0.026594118540069437,0.008295996678798264
40,1e-10,30.0,1.0,0.00034464190066056135,0.02243704474246743,0.022701913082740947,0.2869746873662611,0.31109958845258523,0.08466015556666298,0.008295996678798264
10,1e-10,100.0,0.25,8.412562569526615e-05,0.005767426504354062,0.008622824334754873,0.017275395025018542,0.03703708224149956,0.019796346086525994,0.006124308492716552
20,1e-10,100.0,0.25,8.378117729952351e-05,0.005723539933009683,0.009341174816563172,0.018403007951891488,0.042226137051174485,0.024118056139182446,0.006124308492716552
30,1e-10,100.0,0.25,8.615445932195027e-05,0.005908740014029027,0.010216405368354066,0.022257393726266565,0.04874604494934455,0.028986880417385993,0.006124308492716552
40,1e-10,100.0,0.25,0.00010353668421027425,0.007097527519473437,0.01269871406139527,0.061339697603114404,0.08601718385775169,0.042235463519841095,0.006124308492716552
10,1e-10,100.0,0.5,7.165196485784135e-05,0.00453157469451827,0.0067862898609346465,0.013586779925918639,0.029136128290041387,0.015580087627234326,0.005956080639891903
